gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142168	6492.570284678824	2.983590104120579	0.22547524631356802	13.232450802920093	5.699801058658045e-40	1.8646492034752747e-38
ENSG00000160307	4685.907850382976	3.3558671020066417	0.28801889189054375	11.651552021393016	2.2531738717708e-31	6.449710207943915e-30
ENSG00000159197	1664.5809358745528	2.2368213623360993	0.20285711294946024	11.026585806204293	2.8446006823003857e-28	7.237928402742092e-27
ENSG00000160284	7003.289185177188	3.4481475954413376	0.5556285203823078	6.205850615927333	5.440183653416139e-10	1.2458020566322957e-8
ENSG00000183421	2747.81450598341	-0.6383543821501148	0.17959663127973577	-3.5543783733661907	3.7887370685578224e-4	0.007887461715452194
ENSG00000166265	1156.4870753880227	-0.6764664068392798	0.20785472702962515	-3.254515384405303	0.0011358600785154613	0.02167599649833672
ENSG00000156256	5807.141401922853	-0.4473857620406043	0.1458410577791535	-3.0676255977111655	0.002157667665907782	0.038008145807144775
ENSG00000272804	578.3369691966611	-1.0507927053606505	0.35759997168323987	-2.938458581007487	0.003298487284690735	0.053953827728155594
ENSG00000154736	2764.2845001475	-0.6525843859902782	0.22764318021690472	-2.8666985998371564	0.00414777822816177	0.06332274761660303
ENSG00000184900	2641.2029565965154	0.5373721265108263	0.19541628263205843	2.749884089866877	0.0059616348781973486	0.08532589919419956
ENSG00000285815	1192.527452793413	-0.5589935453111495	0.2144605470834844	-2.606509928810107	0.009147017197920748	0.1232157022543442
ENSG00000275464	3624.3907916291428	-0.4519934745829845	0.17791016480492422	-2.540571389378389	0.011067149746122626	0.14079873843678228
ENSG00000154721	4215.572438041572	-0.47010498871174267	0.19204734324472664	-2.4478598910513756	0.014370752592509318	0.17320538650971756
ENSG00000184351	193.13817035596122	0.9761022936294811	0.4145617705793847	2.3545400538628938	0.018545644894365144	0.2123476340404809
ENSG00000142178	2034.2213092138572	0.5068562432889424	0.2174778622801174	2.3306107480314378	0.01977389422925624	0.21562960849998472
ENSG00000156284	755.7568004538334	-0.6282680069751164	0.2783648845079418	-2.256994477179437	0.024008419868128728	0.24519296165705776
ENSG00000157542	8978.093480133526	0.40539824247715184	0.1808444643915044	2.241695613085055	0.024981051609385078	0.24519296165705776
ENSG00000156282	399.75818539735576	-0.8607144041114788	0.38583921359560547	-2.23075927428565	0.02569707895095802	0.24519296165705776
ENSG00000160213	3465.8830312721484	0.46028205907556574	0.22658124867575155	2.031421672206649	0.04221223780441741	0.38666409828846343
ENSG00000186965	136.95122796619046	-0.9414990956695602	0.4729155892797391	-1.9908396276457796	0.04649852120015813	0.40954466749370044
ENSG00000160282	4488.822007444756	0.3351962683304562	0.17065527125786029	1.9641717824465807	0.04951017397002034	0.419919623671654
ENSG00000184724	161.99103130600582	0.8428147258617816	0.43483459295971894	1.9382421258739553	0.05259368949878377	0.4301412462579101
ENSG00000205929	1291.5571428439494	-0.3943311799397079	0.2078853295815074	-1.8968687243757576	0.057845266163722264	0.45677813625835856
ENSG00000171189	8603.964830085937	-0.31907186245092434	0.17140167750818544	-1.861544572314275	0.06266731234539134	0.4783604842364873
ENSG00000160214	4552.23995471927	0.3155996759818799	0.17177283297524343	1.8373084411279712	0.06616437447465176	0.48876263724823393
ENSG00000205670	1965.0547768124488	0.40359382136505006	0.22403293516082334	1.8014932539955695	0.07162516962949486	0.5031828335950559
ENSG00000160216	13268.682466740393	0.2893079968774936	0.16109396176317298	1.7958959709663749	0.07251106335649277	0.5031828335950559
ENSG00000154734	4209.315221638448	-0.31500825761967033	0.18475610535557777	-1.7049951178252647	0.08819533496961325	0.5446143586372747
ENSG00000142182	1437.9583862323473	0.4348992893799169	0.25792376841786413	1.6861543705244468	0.09176606996614516	0.5446143586372747
ENSG00000156239	3403.632870479398	-0.4020005312231223	0.23885525021111167	-1.6830299140078144	0.0923693006503221	0.5446143586372747
ENSG00000183778	7339.552562854257	-0.2946909434890946	0.17596538264744377	-1.6747097585638417	0.0939911918362651	0.5446143586372747
ENSG00000159082	13437.650286474058	0.28200171190610335	0.16890511232383523	1.6695865982163547	0.09500118377595998	0.5446143586372747
ENSG00000244362	175.60488972353662	0.7142872637661719	0.42803827354406576	1.6687462498435606	0.09516767905580406	0.5446143586372747
ENSG00000159263	4656.372040003775	-0.37524869289254803	0.22638041943839762	-1.6576022512170505	0.09739777499290518	0.5446143586372747
ENSG00000156299	8644.31158474269	0.2707876834127155	0.1640052920184194	1.6510911329757785	0.09871996762165554	0.5446143586372747
ENSG00000205581	7601.868679397114	0.26312767531068454	0.15991632426109628	1.6454084755041924	0.09988560289417266	0.5446143586372747
ENSG00000185437	2334.7663789514404	0.3956302685231825	0.24853427775831502	1.591853936976491	0.11141752760517175	0.5933631121298681
ENSG00000182240	6918.811323658954	-0.3687337061857052	0.23479474491626987	-1.570451273588765	0.11631016189412058	0.6053415244034911
ENSG00000244025	206.09900722254883	0.7565726816764884	0.4886215555076374	1.5483817141273515	0.12153042112514438	0.6184548097257347
ENSG00000186866	8024.500839592373	-0.2579480918051356	0.16792941894540137	-1.5360506421391351	0.12452596037471184	0.6199227157784568
ENSG00000205445	534.0639301909625	0.4617308935196787	0.30899570696100803	1.494295497050204	0.13509840157248418	0.6499474198895853
ENSG00000277277	617.4376853923766	0.5730881455649772	0.38685253407110104	1.4814124119441525	0.13849670924609214	0.6499474198895853
ENSG00000160233	2199.672351260329	0.4750774369788088	0.32222756416646525	1.4743538101953937	0.14038635397999671	0.6499474198895853
ENSG00000177692	2184.196548848501	-0.2708675385098041	0.18442475853627022	-1.4687157009699079	0.14190991700645966	0.6499474198895853
ENSG00000160221	5501.245151530728	-0.23232019760912784	0.15988909559724454	-1.4530083914811482	0.14622142412868805	0.6565628652052855
ENSG00000142149	3848.6979888618216	0.2752546916053576	0.19827293601232177	1.3882615405879286	0.16505741879943914	0.726887478943684
ENSG00000221837	757.7268360906246	-0.3984185322012625	0.2993283103524273	-1.3310419309559025	0.1831752142980639	0.7891165360823331
ENSG00000215455	332.7921505549086	0.45525277446644635	0.34742739187468247	1.3103537173909898	0.1900762030102539	0.7891165360823331
ENSG00000241123	328.0854892869196	-0.48917289500490724	0.3746728294907722	-1.3056001303050322	0.1916885760135965	0.7891165360823331
ENSG00000142156	4388.004043463021	-0.26319767176152603	0.20217388598169947	-1.3018381206035203	0.19297172934764478	0.7891165360823331
ENSG00000154640	1526.2225213807808	0.25627559041821557	0.2001209627745559	1.2806034253738827	0.2003329962562474	0.8048465989943974
ENSG00000154639	2870.137198010109	-0.2727211955384216	0.22375795228709816	-1.218822360281971	0.22291162274398352	0.8801165794546935
ENSG00000249209	473.06110140987613	0.41421356497521755	0.3446371617007436	1.2018830555913431	0.22940884025648997	0.8904173630294272
ENSG00000212938	180.98823026317206	-0.48778426979832057	0.4253938846284923	-1.1466649790330565	0.25152010971251243	0.9599684187360892
ENSG00000198862	9989.939096228392	-0.19884229831869937	0.17928939462682655	-1.10905778187589	0.26740525598841336	0.985398297549794
ENSG00000160226	4139.903589536175	0.21224813835255524	0.19173759156483344	1.106971964236791	0.26830604982893974	0.985398297549794
ENSG00000197381	15674.035405879244	0.2407317076332834	0.2206131771121983	1.0911936937966915	0.2751876621743639	0.985398297549794
ENSG00000186980	72.26299731749305	-0.6556236496316405	0.6367080372028241	-1.0297084555613845	0.30314688511061166	0.985398297549794
ENSG00000221859	262.75058949622974	-0.3679550184106956	0.3577868443969459	-1.028419641954383	0.30375247295681523	0.985398297549794
ENSG00000166979	5837.031134799026	-0.16874699307714755	0.16833007486887075	-1.0024767897750986	0.31611337099507947	0.985398297549794
ENSG00000212935	338.3402909878675	0.38352475520792884	0.3838922208224183	0.9990427896306358	0.3177739633421504	0.985398297549794
ENSG00000160285	8797.551186767294	0.20630939836234852	0.20878032353074746	0.9881649519139908	0.32307186983334896	0.985398297549794
ENSG00000242220	1915.1708931009314	-0.2537377097564388	0.25871815254981634	-0.9807495425261334	0.3267162661264832	0.985398297549794
ENSG00000280433	1961.5730176600373	-0.20525522000438773	0.2093264704966309	-0.9805507135214001	0.32681434936523135	0.985398297549794
ENSG00000189169	409.22035232004146	-0.3287399125604755	0.34147333162475474	-0.9627103557291203	0.335692898342127	0.985398297549794
ENSG00000273590	3313.726090717625	-0.16413672413892874	0.17177035773241892	-0.9555590749517927	0.3392950460245443	0.985398297549794
ENSG00000183145	2155.4059727815606	0.2538333510667991	0.26987191446581776	0.9405697201549659	0.3469254051988558	0.985398297549794
ENSG00000157551	12678.8504558228	-0.1659911750409228	0.17766306520063846	-0.9343032264667147	0.3501475004792236	0.985398297549794
ENSG00000185658	19301.792886337586	0.14761500075761036	0.16316776303200714	0.9046823834230912	0.3656336765348724	0.985398297549794
ENSG00000182670	25438.988710692367	0.1540347729218392	0.17051367869670947	0.9033572795987759	0.36633630538393597	0.985398297549794
ENSG00000159079	3727.0210231603933	-0.1737010355799689	0.19387447882212605	-0.8959458544274636	0.3702816822968869	0.985398297549794
ENSG00000160294	8442.911331074305	0.18497256508139526	0.20933365765750728	0.8836255342369767	0.37689839043639584	0.985398297549794
ENSG00000154727	3363.1513516590308	-0.14896224324887783	0.17080714281424264	-0.8721078099812153	0.3831495659056279	0.985398297549794
ENSG00000157554	16946.871184644795	-0.1569746731370742	0.18124185512453295	-0.8661060825559055	0.38643198989349953	0.985398297549794
ENSG00000160191	15290.297396669754	0.11999671235577193	0.13964769838570182	0.8592817049110643	0.39018511525743	0.985398297549794
ENSG00000183486	7065.942757766019	-0.1415262401026236	0.1652819715284256	-0.8562714904346573	0.3918476269600318	0.985398297549794
ENSG00000155307	5572.182402876171	0.18353495887061008	0.2151016151194217	0.8532477023415831	0.3935219550454078	0.985398297549794
ENSG00000160209	13748.6095441026	-0.12242268443464908	0.14360326618283323	-0.8525062673629067	0.39393316196191275	0.985398297549794
ENSG00000184221	1337.2420711714678	0.24451951321186993	0.28693543733289384	0.8521760695880368	0.3941163764816126	0.985398297549794
ENSG00000184787	5868.425606241054	-0.17600216101778252	0.2068174481701983	-0.8510024786348942	0.3947679759128491	0.985398297549794
ENSG00000160200	7849.556707861109	-0.12414140375246295	0.1524511438123517	-0.8143028687621098	0.4154714666917066	0.985398297549794
ENSG00000141956	20869.904373108897	-0.11295801373560892	0.1418673455763642	-0.7962227902178235	0.4259025533141403	0.985398297549794
ENSG00000159086	5679.989921514195	0.14106068724215462	0.17760219875746633	0.7942507932280004	0.4270494440124401	0.985398297549794
ENSG00000182816	277.4307759122869	-0.2928545811403961	0.3705434740178527	-0.7903379810334655	0.42933041120151355	0.985398297549794
ENSG00000142173	6155.240861142687	-0.1515502288776003	0.19253066292260124	-0.7871485330028943	0.43119492140867205	0.985398297549794
ENSG00000279493	205.91745905507713	-0.4569581268992761	0.5817747800886404	-0.7854553730047443	0.4321866258339295	0.985398297549794
ENSG00000206107	201.95181207811953	-0.370176262442851	0.4813572723632499	-0.7690260097774162	0.44187787008327806	0.985398297549794
ENSG00000276612	646.9698184538815	0.2899841011390279	0.3818878727556458	0.7593435713120346	0.4476470595812907	0.985398297549794
ENSG00000188694	502.7896089485271	-0.34847325708273513	0.4647807426536175	-0.7497583808941032	0.45340023905259097	0.985398297549794
ENSG00000159267	7782.284405163998	-0.14900515621797056	0.201296027514819	-0.7402289953635628	0.45916105662441176	0.985398297549794
ENSG00000157578	8109.566036771355	0.13463708780380326	0.18501092554604243	0.7277250649194609	0.46678190373110184	0.985398297549794
ENSG00000142185	10204.770565344454	0.09957142684071807	0.1391508044514442	0.7155648667159729	0.4742600739759276	0.985398297549794
ENSG00000215454	1230.3073274293888	-0.18221665702773412	0.25670766635495584	-0.7098216411495042	0.47781474717481354	0.985398297549794
ENSG00000186977	205.17526601190832	-0.3245079695915585	0.457285483671127	-0.7096397790421439	0.47792754516870906	0.985398297549794
ENSG00000141959	18660.724082265384	-0.9076277770373772	1.2794326503723488	-0.709398636007322	0.4780771339626839	0.985398297549794
ENSG00000173276	10307.08600837519	0.11660850245718063	0.16479731215362628	0.7075874049964881	0.4792015166130609	0.985398297549794
ENSG00000243646	3084.4099999002992	-0.13784507104168103	0.19862922979870945	-0.6939818030879594	0.48769362073148126	0.985398297549794
ENSG00000206102	66.640840883995807	-0.44179055730103406	0.6382896622290917	-0.692147442523468	0.4888447405725029	0.985398297549794
ENSG00000182871	9225.82154994931	0.10135651626737259	0.14664469631244234	0.6911706922657578	0.4894582793637973	0.985398297549794
ENSG00000160179	9340.083324956298	-0.10539802498094132	0.15407555281985305	-0.6840671544055658	0.4939327613922622	0.985398297549794
ENSG00000205758	8250.671361811208	0.10113997349661502	0.14789318553216382	0.6838717628042374	0.49405614611402104	0.985398297549794
