baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65147.21454457551	2.956037592746248	0.14484930672531418	20.40767511819678	1.429232243091127e-92	3.2729418366786808e-90	ENSG00000160191
19985.2236303954	3.292779444357137	0.1720860963930337	19.1344885692371	1.303521578574158e-81	1.4925322074674108e-79	ENSG00000154734
9242.00800933985	2.7444259983821735	0.17983594057466196	15.260720352185542	1.396975698925466e-52	1.066358116846439e-50	ENSG00000183145
5645.72936959473	2.9469263604262834	0.20394777045477333	14.449416896566577	2.5281708850969393e-47	1.447377831717998e-45	ENSG00000142168
11088.867438388348	3.148651063845652	0.21842536821613148	14.415226077266208	4.1507780275690933e-47	1.9010563366266446e-45	ENSG00000276289
9475.69771625172	3.2381155518795897	0.24022798033724857	13.479343860501595	2.0693892765808755e-41	7.898169072283674e-40	ENSG00000154723
25619.61714349666	2.5720691549258334	0.22043855836519974	11.667963962387633	1.858171583458749e-31	6.0788756087436214e-30	ENSG00000180509
33677.002302587076	3.01912038714911	0.26684414618296065	11.314171325606154	1.116522608271504e-29	3.1960459661771803e-28	ENSG00000156299
2370.629708973638	1.6228012791115796	0.3186938785854489	5.092037808553234	3.5423544064421996e-7	9.013323989725151e-6	ENSG00000275993
9044.745393231568	2.578717063424538	0.5677931511253247	4.541648764719526	5.58159780970045e-6	1.278185898421403e-4	ENSG00000142178
291.0688193577575	-1.2948021246594998	0.32893931790678865	-3.936294794124937	8.274931463714422e-5	0.0017226902774460024	ENSG00000222018
438.54233204879125	-1.2131301083745352	0.3182109523770825	-3.812345550372403	1.3765424657636414e-4	0.0026269018721656154	ENSG00000215455
1445.2532209238445	-0.6309061563272931	0.20625609881431464	-3.058848489591944	0.0022218948934136307	0.03913953312244011	ENSG00000166351
659.8853325339172	1.0024403126853747	0.3466743315101257	2.891590814695478	0.0038329679753362324	0.06269640473942838	ENSG00000156284
3338.785300585107	0.4573011438843908	0.1720996532044443	2.6571880615072705	0.007879547386764201	0.12029442343793348	ENSG00000157557
7386.597726289479	0.4027225861135252	0.16040168865435747	2.5107128827136873	0.012048764965485782	0.17244794856851525	ENSG00000160183
6912.714019140472	-0.577763631191696	0.2591065178673324	-2.229830557514274	0.025758693923505258	0.332025830732717	ENSG00000171587
4443.295472037418	0.3750131880968003	0.16856427699578772	2.2247488897435344	0.02609810023226597	0.332025830732717	ENSG00000154721
8144.363142852772	-0.3962080243078038	0.18256388829958456	-2.1702431296688447	0.029988432342878547	0.34979201290441153	ENSG00000205581
1388.1057826237438	-0.5217603607900068	0.24123278739359233	-2.1628915639013417	0.030549520777677867	0.34979201290441153	ENSG00000205929
494.1124653563169	0.5504228995007187	0.25715630865926614	2.1404215294987483	0.03232071615380967	0.35244971424868643	ENSG00000276612
8129.438315298221	0.38507975284704477	0.18761828687675525	2.052463857640914	0.040124604060092606	0.4092037537716301	ENSG00000157542
1277.3761604646543	-0.5339717772693418	0.26142675456609715	-2.042529190080797	0.04109906697269647	0.4092037537716301	ENSG00000160284
434.852920916513	0.7372757104038784	0.39620466336487953	1.8608456148455121	0.06276598175880103	0.5988920759485599	ENSG00000221859
3054.1688692155344	-0.3772970120771214	0.20561711960083875	-1.8349494089284106	0.06651318581763851	0.6092607820895688	ENSG00000142149
26599.01674515658	-0.30700369367686203	0.17073249659601425	-1.7981561788046214	0.07215226167492057	0.6354949201368005	ENSG00000182670
8366.658282866096	-0.36406624211444305	0.20680435986463513	-1.7604379441165772	0.0783335805697152	0.664384812980177	ENSG00000160285
2284.77097901124	-0.5247069114951626	0.3052985927980431	-1.7186679659616362	0.08567484819308313	0.7006978655791442	ENSG00000249624
4061.8609073932766	-0.2703306869370158	0.16604463907081096	-1.6280603122738053	0.10351209782209062	0.7375910891628216	ENSG00000160226
5356.8591359256925	-0.42234252700870556	0.261805949941401	-1.613189184979321	0.10670341236267114	0.7375910891628216	ENSG00000184012
151.73498995064747	0.7933804006383663	0.49838189196913146	1.5919125743186238	0.11140434979682234	0.7375910891628216	ENSG00000244025
5682.151786253619	-0.2693186979546481	0.16973988114808583	-1.586655393729697	0.11259071417571725	0.7375910891628216	ENSG00000166979
8754.253479341816	-0.2578708638664512	0.16454409070478337	-1.5671839855319385	0.11707169260369174	0.7375910891628216	ENSG00000173276
4384.697429562485	-0.39191622696767187	0.2510483971821296	-1.5611182200989955	0.11849585986970562	0.7375910891628216	ENSG00000156239
7779.993896794538	0.2730545012553904	0.1762285801354204	1.5494337016479702	0.12127749746647813	0.7375910891628216	ENSG00000160201
8136.560696174549	-0.23773260710611416	0.15416244337407464	-1.5420915879573651	0.12305133883724738	0.7375910891628216	ENSG00000186866
3709.5210778416813	0.2735071232916891	0.1794227312172488	1.5243727560947722	0.1274156217377451	0.7375910891628216	ENSG00000142188
294.41923671548307	-0.5451974928739929	0.3578590407994814	-1.523497888039896	0.12763418867949203	0.7375910891628216	ENSG00000159197
1101.9782872734093	-0.4341862008443931	0.2866561828748705	-1.5146584193298964	0.1298589295810686	0.7375910891628216	ENSG00000285815
9858.867625161054	0.2756843683037745	0.18319298630264189	1.5048849514813483	0.13235365786772527	0.7375910891628216	ENSG00000182871
803.4609975138587	0.34366890340373313	0.23105363589473354	1.487398811418429	0.1369095106447544	0.7375910891628216	ENSG00000183036
3351.4136541066355	-0.2937277515145723	0.19760141402339831	-1.4864658381432003	0.1371559464115463	0.7375910891628216	ENSG00000243646
461.91187552887243	-0.44440914591091585	0.302190777950333	-1.4706244476592114	0.141392708609691	0.7375910891628216	ENSG00000188694
